1,$K_X\psi$,Assumption
2,$\vdash K_X\psi \to B_X\psi$,Belief Necessitation
3,$\vdash K_X\psi \to \psi $,Facticity
4,$K_X(K_X\psi \to \psi  )$,3#$% Epistemic Necessitation
5,$B_X(K_X\psi \to \psi )$,2#$% 4#$% Predicate Logic
6,$K_XK_X \psi$,1#$% Positive Introspection
7,$B_XK_X\psi $,6#$% Belief Necessitation
8,$B_XK_X\psi \wedge B_X(K_X\psi \to \psi )$,5#$% 7#$% Predicate Logic
9,$B_X\phi \wedge B_X(\phi \to \psi)$,8#$% Substitution
10,$J_X\psi$,9#$% Justification Definition#$% PL
11,$\psi$,1#$%3#$% Predicate Logic
12,$J_X \psi \wedge \psi$,10#$% 11#$% Predicate Logic
13,$K_X\psi \to (J_X\psi \wedge \psi )$,1 - 12#$% Predicate Logic
